Museum Number,Male/Female,Month,Day,Year,Location,Total Snout Length,Egg,Calcium sac,Area Left,Area Right,Area Total,M.Fn.Fg,alt.month
MCZ_149371,F,June,,1975,Bonaire,9.238,1,1,4.74,3.927,8.667,Fg,6
MCZ_149370,M,June,,1975,Bonaire,8.771,0,0,0,0,0,M,6
MCZ_149369,F,June,,1975,Bonaire,9.156,0,1,5.343,4.285,9.628,Fn,6
MCZ_149368,M,June,,1975,Bonaire,9.181,0,1,1.233,0.761,1.994,M,6
MCZ_149367,M,June,,1975,Bonaire,9.3,0,0,0,0,0,M,6
MCZ_141593,F,Februrary,15,1974,Bonaire,8.725,1,0,0,0,0,Fg,2
MCZ_141600,M,Februrary,15,1974,Bonaire,9.269,0,1,0,0.91,0.91,M,2
MCZ_82968,M,Februrary,4,1965,Bonaire,9.134,0,1,0.391,0.312,0.703,M,2
MCZ_82969,F,Februrary,4,1965,Bonaire,9.726,1,1,0,0.516,0.516,Fg,2
MCZ_82971,F,Februrary,4,1965,Bonaire,8.868,0,0,0,0,0,Fn,2
MCZ_82974,F,Februrary,4,1965,Bonaire,9.018,1,1,7.451,6.384,13.835,Fg,2
MCZ_82973,M,Februrary,4,1965,Bonaire,8.698,0,1,0.376,1.076,1.452,M,2
MCZ_69586,M,September,26,1962,Curacao: North Jongbloed,6.534,0,1,1.252,1.387,2.639,M,9
MCZ_69584,F,September,26,1962,Curacao: North Jongbloed,6.483,1,1,2.414,2.326,4.74,Fg,9
MCZ_69583,F,September,26,1962,Curacao: North Jongbloed,9.423,0,1,3.499,3.409,6.908,Fn,9
MCZ_69581,F,September,26,1962,Curacao: North Jongbloed,8.765,0,1,2.061,3.133,5.194,Fn,9
MCZ_69580,M,September,26,1962,Curacao: North Jongbloed,8.48,0,0,0,0,0,M,9
MCZ_69579,M,September,26,1962,Curacao: North Jongbloed,7.976,0,0,0,0,0,M,9
MCZ_69577,M,September,26,1962,Curacao: North Jongbloed,7.703,0,1,0.507,0.449,0.956,M,9
MCZ_69596,M,September,27,1962,Curacao: Knip,7.901,0,1,0.706,0,0.706,M,9
MCZ_69597,M,September,27,1962,Curacao: Knip,9.07,0,1,2.324,2.439,4.763,M,9
MCZ_69592,F,September,27,1962,Curacao: Knip,7.922,1,1,1.502,1.521,3.023,Fg,9
MCZ_82976,M,February,7,1965,Curacao: Piscadera Boai,8.902,0,1,2.003,2.362,4.365,M,2
MCZ_81514,F,May,1,1965,Curacao: Piscadera Boai,7.957,0,1,3.972,3.184,7.156,Fn,5
MCZ_69587,F,September,26,1962,Curacao: North Jongbloed,8.368,1,1,3.736,2.85,6.586,Fg,9
MCZ_81513,F,May,1,1964,Curacao: Piscadera Boai,9.183,0,1,4.91,4.13,9.04,Fn,5
MCZ_82978,M,February,7,1965,Curacao: Piscadera Boai,8.909,0,0,0,0,0,M,2
MCZ_149349,M,June,,1975,Curacao: Willemstad,9.452,0,0,0,0,0,M,6
MCZ_149351,M,June,,1975,Curacao: Willemstad,9.837,0,1,1.8,1.57,3.37,M,6
MCZ_27548,F,,,,,9.081,0,1,2.199,2.008,4.207,Fn,
MCZ_82979,F,February,7,1974,Curacao: Piscadera Boai,8.788,0,1,3.326,3.857,7.183,Fn,2
MCZ_82977,M,February,7,1965,Curacao: Piscadera Boai,8.856,0,1,0.799,0.667,1.466,M,2
YPM_018642,F,September,7,2011,Westpunt,6.928,0,1,1.088,0.425,1.513,Fn,9
YPM_018445,M,September,10,2011,Shete Boca,8.206,0,1,1.302,1.225,2.527,M,9
YPM_018192,M,August,12,2010,Westpunt,9.442,0,0,0,0,0,M,8
YPM_018455,F,September,14,2011,Playa Lagun,8.682,0,1,2.619,2.39,5.009,Fn,9
YPM_018459,F,September,14,2011,Playa Lagun,9.218,0,1,7.337,7,14.337,Fn,9
YPM_018194,M,August,6,2010,Westpunt,9.125,0,0,0,0,0,M,8
YPM_018197,F,August,6,2010,Westpunt,8.939,0,1,4.917,4.35,9.267,Fn,8
YPM_018440,F,September,10,2011,Shete Boca,7.831,0,1,3.431,3.033,6.464,Fn,9
YPM_018190,M,August,12,2010,Westpunt,7.823,0,1,0.551,0.647,1.198,M,8
YPM_018443,M,September,10,2011,Shete Boca,8.591,0,0,0,0,0,M,9
YPM_018189,F,August,12,2010,Westpunt,7.706,0,1,3.673,3.829,7.502,Fn,8
YPM_018449,M,September,10,2011,Shete Boca,8.843,0,0,0,0,0,M,9
YPM_017583,F,July,13,2009,Westpunt,8.353,0,1,1.134,1.179,2.313,Fn,7
YPM_018438,F,September,10,2011,Shete Boca,7.725,0,1,0.888,0.628,1.516,Fn,9
YPM_018643,F,September,7,2011,Westpunt,7.939,0,1,1.578,1.317,2.895,Fn,9
YPM_018447,F,September,10,2011,Shete Boca,8.302,1,1,2.435,2.022,4.457,Fg,9
YPM_018191,F,August,12,2010,Westpunt,8.302,0,1,0.291,0,0.291,Fn,8
YPM_018453,F,September,14,2011,Playa Lagun,6.958,0,1,2.665,2.558,5.223,Fn,9
YPM_018196,F,August,6,2010,Westpunt,8.773,1,1,2.926,2.466,5.392,Fg,8
YPM_017582,F,July,14,2009,Westpunt,8.644,1,1,5.361,3.906,9.267,Fg,7
YPM_018604,M,September,19,2011,Westpunt,7.902,0,1,1.516,1.103,2.619,M,9
YPM_017580,M,July,17,2009,Westpunt,8.884,0,0,0,0,0,M,7
YPM_018606,F,September,19,2011,Westpunt,7.23,1,1,3.431,2.19,5.621,Fg,9
YPM_018452,M,September,14,2011,Playa Lagun,8.899,0,1,0,0.923,0.923,M,9
YPM_018193,M,August,6,2010,Westpunt,8.972,0,1,1.104,0.725,1.829,M,8
YPM_018442,F,September,10,2011,Shete Boca,9.049,0,1,3.109,2.497,5.606,Fn,9
YPM_017584,F,July,13,2009,Westpunt,8.466,0,1,1.961,2.022,3.983,Fn,7
YPM_018458,F,September,14,2011,Playa Lagun,7.942,0,1,2.864,3.462,6.326,Fn,9
YPM_017581,F,July,14,2009,Westpunt,7.896,0,1,1.624,1.547,3.171,Fn,7
YPM_018446,M,September,10,2011,Shete Boca,8.238,0,1,0.181,0.312,0,M,9
YPM_018641,F,September,7,2011,Westpunt,9.593,0,1,2.144,3.492,5.636,Fn,9
YPM_018188,F,August,12,2011,Westpunt,8.845,0,1,3.967,4.243,8.21,Fn,8
YPM_018605,F,September,19,2011,Westpunt,8.496,0,1,2.757,2.497,5.254,Fn,9
YPM_018439,F,September,10,2011,Shete Boca,7.937,0,1,1.455,1.869,3.324,Fn,9
YPM_018198,F,August,6,2010,Westpunt,5.15,0,1,0.383,0.429,0.812,Fn,8
YPM_017579,M,July,11,2009,Westpunt,8.276,0,1,0.723,0.69,0,M,7
YPM_018199,M,August,10,2010,Westpunt,7.537,0,1,1.297,1.084,0,M,8
YPM_018640,F,September,11,2011,Westpunt,8.529,0,1,2.16,3.232,5.392,Fn,9
YPM_018448,M,September,10,2011,Shete Boca,8.45,0,0,0,0,0,M,9
YPM_018456,F,September,14,2011,Playa Lagun,8.324,0,1,1.394,1.026,2.42,Fn,9
YPM_018451,F,September,14,2011,Playa Lagun,8.502,1,1,1.501,1.516,3.017,Fg,9
YPM_018441,F,September,14,2011,Shete Boca,8.697,0,1,1.608,1.409,3.017,Fn,9
YPM_018454,M,September,10,2011,Playa Lagun,4.959,0,0,0,0,0,M,9
YPM_018644,F,September,7,2011,Westpunt,9.288,0,1,4.411,4.09,8.501,Fn,9
YPM_018603,F,September,19,2011,Westpunt,9.279,0,1,3.048,2.589,5.637,Fn,9
YPM_018195,M,August,6,2010,Westpunt,8.178,0,1,0.567,0.551,1.118,M,8
YPM_018460,F,September,14,2011,Playa Lagun,8.994,0,1,2.068,1.93,3.998,Fn,9
NCSM_89384,F,June,,,,,0,,,,,Fn,6
NCSM_89385,M,June,,,,,0,,,,,M,6
NCSM_89386,F,June,,,,,0,,,,,Fn,6
NCSM_89387,F,June,,,,,0,,,,,Fn,6
NCSM_89390,M,June,,,,,0,,,,,M,6
NCSM_89391,F,June,,,,,0,,,,,Fn,6
NCSM_89392,M,June,,,,,0,,,,,M,6
NCSM_89393,M,June,,,,,0,,,,,M,6
NCSM_89394,F,June,,,,,0,,,,,Fn,6
NCSM_89395,F,June,,,,,0,,,,,Fn,6
NCSM_89396,F,June,,,,,0,,,,,Fn,6
NCSM_89397,F,June,,,,,0,,,,,Fn,6
NCSM_89398,M,July,,,,,0,,,,,M,7
NCSM_89399,M,July,,,,,0,,,,,M,7
NCSM_89400,M,July,,,,,0,,,,,M,7
NCSM_89401,M,July,,,,,0,,,,,M,7
NCSM_89402,F,July,,,,,0,,,,,Fn,7
NCSM_89403,F,July,,,,,0,,,,,Fn,7
NCSM_89404,F,July,,,,,0,,,,,Fn,7
NCSM_89405,F,July,,,,,1,,,,,Fg,7
NCSM_89406,F,July,,,,,0,,,,,Fn,7
NCSM_89407,F,July,,,,,0,,,,,Fn,7
NCSM_89408,F,July,,,,,0,,,,,Fn,7
